Subject,MatPath,ErrorLoading,TimePoints,RawROIs,RawROIsMatchExpected,NaNsCount,NaNsPct,ZerosCount,ZerosPct,NullChannelsCount,NullChannelsPct
019_S_6668,ROISignals_019_S_6668.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_6712,ROISignals_019_S_6712.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_6757,ROISignals_019_S_6757.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_7016,ROISignals_019_S_7016.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
021_S_4659,ROISignals_021_S_4659.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
021_S_4744,ROISignals_021_S_4744.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
022_S_2263,ROISignals_022_S_2263.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
022_S_2379,ROISignals_022_S_2379.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
022_S_6013,ROISignals_022_S_6013.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
022_S_6280,ROISignals_022_S_6280.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
022_S_6716,ROISignals_022_S_6716.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
024_S_4674,ROISignals_024_S_4674.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
024_S_6033,ROISignals_024_S_6033.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
027_S_2219,ROISignals_027_S_2219.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
027_S_2245,ROISignals_027_S_2245.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
027_S_4869,ROISignals_027_S_4869.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
027_S_4919,ROISignals_027_S_4919.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
027_S_6648,ROISignals_027_S_6648.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
027_S_6733,ROISignals_027_S_6733.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
027_S_6849,ROISignals_027_S_6849.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
027_S_6965,ROISignals_027_S_6965.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
031_S_2018,ROISignals_031_S_2018.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_2022,ROISignals_031_S_2022.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_2233,ROISignals_031_S_2233.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4005,ROISignals_031_S_4005.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4024,ROISignals_031_S_4024.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4029,ROISignals_031_S_4029.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4032,ROISignals_031_S_4032.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4042,ROISignals_031_S_4042.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4149,ROISignals_031_S_4149.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4194,ROISignals_031_S_4194.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4203,ROISignals_031_S_4203.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4218,ROISignals_031_S_4218.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4474,ROISignals_031_S_4474.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4476,ROISignals_031_S_4476.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4496,ROISignals_031_S_4496.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4590,ROISignals_031_S_4590.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4721,ROISignals_031_S_4721.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_4947,ROISignals_031_S_4947.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
031_S_6715,ROISignals_031_S_6715.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
032_S_2119,ROISignals_032_S_2119.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
032_S_6055,ROISignals_032_S_6055.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
